Date,Open,High,Low,Close,Adj Close,Volume
2016-04-11,27.242500,27.652500,27.207500,27.254999,25.048595,117630000
2016-04-12,27.334999,27.625000,27.165001,27.610001,25.374861,108929200
2016-04-13,27.700001,28.084999,27.700001,28.010000,25.742481,133029200
2016-04-14,27.905001,28.097500,27.832500,28.025000,25.756268,101895600
2016-04-15,28.027500,28.075001,27.432501,27.462500,25.239300,187756000
2016-04-18,27.222500,27.237499,26.735001,26.870001,24.694765,243286000
2016-04-19,26.969999,27.000000,26.557501,26.727501,24.563807,129539600
2016-04-20,26.660000,27.022499,26.514999,26.782499,24.614347,122444000
2016-04-21,26.732500,26.732500,26.379999,26.492500,24.347830,126210000
2016-04-22,26.252501,26.620001,26.155001,26.420000,24.281199,134732400
2016-04-25,26.250000,26.412500,26.127501,26.270000,24.143339,112126400
2016-04-26,25.977501,26.325001,25.977501,26.087500,23.975616,224064800
2016-04-27,24.000000,24.677500,23.920000,24.455000,22.475275,458408400
2016-04-28,24.402500,24.469999,23.562500,23.707500,21.788286,328970800
2016-04-29,23.497499,23.680000,23.127501,23.434999,21.537846,274126000
2016-05-02,23.492500,23.520000,23.100000,23.410000,21.514868,192640400
2016-05-03,23.549999,23.934999,23.420000,23.795000,21.868698,227325200
2016-05-04,23.799999,23.975000,23.455000,23.547501,21.641235,164102000
2016-05-05,23.500000,23.517500,23.170000,23.309999,21.553392,143562000
2016-05-06,23.342501,23.362499,22.962500,23.180000,21.433197,174799600
2016-05-09,23.250000,23.442499,23.147499,23.197500,21.449377,131745600
2016-05-10,23.332500,23.392500,23.027500,23.355000,21.595001,134747200
2016-05-11,23.370001,23.392500,23.115000,23.127501,21.384647,114876400
2016-05-12,23.180000,23.195000,22.367500,22.584999,20.883038,305258800
2016-05-13,22.500000,22.917500,22.500000,22.629999,20.924641,177571200
2016-05-16,23.097500,23.597500,22.912500,23.469999,21.701340,245039200
2016-05-17,23.637501,23.674999,23.252501,23.372499,21.611189,187667600
2016-05-18,23.540001,23.802500,23.472500,23.639999,21.858526,168249600
2016-05-19,23.660000,23.660000,23.392500,23.549999,21.775311,121768400
2016-05-20,23.660000,23.857500,23.629999,23.805000,22.011091,128104000
2016-05-23,23.967501,24.297501,23.917500,24.107500,22.290791,152074400
2016-05-24,24.305000,24.522499,24.209999,24.475000,22.630602,140560800
2016-05-25,24.667500,24.934999,24.527500,24.905001,23.028200,152675200
2016-05-26,24.920000,25.182501,24.660000,25.102501,23.210817,225324800
2016-05-27,24.860001,25.117500,24.812500,25.087500,23.196945,145364800
2016-05-31,24.900000,25.100000,24.705000,24.965000,23.083679,169228800
2016-06-01,24.754999,24.885000,24.582500,24.615000,22.760054,116693200
